List of IMB monthly fluxes likely to be corrupted by false bottom formation

VARIABLE: ocean_heat_flux
2004B,6,2004
2004B,7,2004
2006D,1,2007
2006D,2,2007
2006D,3,2007
2006D,4,2007
2006D,5,2007
2006D,6,2007
2006D,7,2007
2008B,2,2009
2008B,3,2009
2008B,4,2009
2010B,6,2010
2010B,7,2010
2012D,7,2012
2012D,8,2012
2012G,12,2012
2012G,1,2013
2013B,7,2013
2013B,8,2013
2014I,11,2014
2014I,12,2014
2015A,4,2015
2015A,5,2015
